Ingredient,Type,Purpose,Skin Type
Polysorbate 20,"Surfactant, Emulsifier","Helps mix oil and water, enhances texture",all skin types
Fragrance,Scent,Adds fragrance to products,all skin types
Yellow 5,Colorant,Adds yellow color,all skin types
Red 40,Colorant,Adds red color,all skin types
Citric Acid,"pH adjuster, Exfoliant",Adjusts pH and exfoliates skin,all skin types
Polyacrylate Crosspolymer-6,"Thickener, Stabilizer","Thickens formulations, stabilizes them",all skin types
Panthenol,"Humectant, Skin conditioning",Moisturizes and soothes the skin,all skin types
Polymethylsilsesquioxane,"Film-forming agent, Skin protector","Forms a protective barrier, protects skin","dry,sensitive"
Dimethicone,"Silicone, Skin conditioning, Moisturizer","Smoothens and softens skin, provides hydration","dry,sensitive"
Isohexadecane,"Emollient, Solvent","Softens the skin, improves product texture","dry,oily"
PEG-40 Stearate,"Emulsifier, Surfactant","Helps mix water and oil, improves texture",all skin types
Cetearyl Methicone,"Silicone, Emollient",Softens and smooths skin,"dry,sensitive"
Steareth-2,"Emulsifier, Surfactant",Stabilizes and helps mix ingredients,all skin types
Steareth-21,"Emulsifier, Surfactant",Stabilizes and helps mix ingredients,all skin types
Parfum,Scent,Adds fragrance to the product,all skin types
T-Butyl Alcohol,"Solvent, Stabilizer","Acts as a solvent, stabilizes formula",all skin types
Actinidia Chinensis (Kiwi) Fruit Extract,"Antioxidant, Skin conditioning",Nourishes and protects skin,all skin types
Hylocereus Undatus Fruit Extract,"Antioxidant, Moisturizing",Hydrates and soothes skin,all skin types
Hippophae Rhamnoides Water,"Antioxidant, Moisturizing",Provides hydration and protects skin,all skin types
Ascorbyl Glucoside,"Vitamin C derivative, Antioxidant",Skin brightening and protection,all skin types
Betaine,"Humectant, Skin conditioning",Moisturizes and soothes skin,"dry,sensitive"
Limonene,"Fragrance, Antioxidant",Adds fragrance and protects skin from damage,all skin types
Alpha-Arbutin,Skin brightening agent,Lightens skin and evens out tone,all skin types
Linalool,"Fragrance, Antioxidant",Adds fragrance and provides antioxidant protection,all skin types
Adenosine,"Skin conditioning, Anti-aging",Soothes and reduces signs of aging,all skin types
Hydroxyethylcellulose,"Thickener, Stabilizer",Thickens and stabilizes formulations,all skin types
Polyglyceryl-10 Myristate,Emulsifier,Stabilizes and improves texture of the formulation,all skin types
Polyglyceryl-10 Laurate,Emulsifier,Stabilizes and improves texture of the formulation,all skin types
Betaine Salicylate,"Exfoliant, Acne treatment",Exfoliates and helps reduce acne,"oily,acne-prone"
Citrus Aurantium Bergamia (Bergamot) Fruit Oil,"Fragrance, Antioxidant",Adds fragrance and protects skin,all skin types
Menthyl Lactate,Cooling agent,Provides a cooling effect on the skin,all skin types
Mentha Haplocalix Extract,"Skin conditioning, Refreshing",Refreshes and soothes the skin,all skin types
Cetyl Ethylhexanoate,"Emollient, Skin conditioning",Softens and smooths skin,all skin types
Macadamia Ternifolia Seed Oil,"Emollient, Moisturizing",Nourishes and moisturizes skin,"dry,sensitive"
Cetearyl Alcohol,"Emulsifier, Skin conditioning",Stabilizes emulsions and moisturizes skin,"dry,sensitive"
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,"Stabilizer, Film-forming agent",Stabilizes formulations and creates a protective film,all skin types
Ethylhexylglycerin,"Skin conditioning, Preservative",Hydrates and preserves product,all skin types
Cetearyl Olivate,Emulsifier,Helps to blend oils and water in formulas,"dry,sensitive"
Sorbitan Olivate,Emulsifier,Helps to blend oils and water in formulas,"dry,sensitive"
Tocopherol,"Antioxidant, Skin conditioning",Protects skin from damage and nourishes,all skin types
Lactobionic Acid,"Exfoliant, Moisturizing",Gently exfoliates and moisturizes skin,all skin types
Vitamin C (Ascorbyl Glucoside),"Antioxidant, Skin brightening",Brightens skin and provides antioxidant protection,all skin types
Xanthan Gum,"Thickener, Stabilizer",Thickens and stabilizes formulations,all skin types
Hexylene Glycol,"Solvent, Humectant",Moisturizes and helps dissolve other ingredients,all skin types
Ascorbyl Tetraisopalmitate,"Antioxidant, Skin brightening",A stable form of Vitamin C for skin brightening and antioxidant protection,all skin types
Carthamus Tinctorius (Safflower) Flower Extract,"Plant Extract, Moisturizing",Hydrates and nourishes the skin,"dry,sensitive"
Sucrose,"Humectant, Moisturizer","Draws moisture into the skin, keeping it hydrated",all skin types
Tromethamine,pH adjuster,Helps adjust and stabilize the pH of the formulation,all skin types
Propanediol,"Humectant, Solvent",Improves moisture retention and helps dissolve ingredients,all skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Emulsifying Agent, Thickener",Helps to thicken and stabilize emulsions,all skin types
C12-14 Pareth-12,"Surfactant, Emulsifier",Cleanses and helps ingredients mix together,all skin types
Actinidia Chinensis (Kiwi) Fruit Extract,"Plant Extract, Antioxidant","Rich in Vitamin C, helps protect and brighten skin",all skin types
Hylocereus Undatus Fruit Extract,"Plant Extract, Hydrating",Provides hydration and soothes the skin,"dry,sensitive"
Salix Alba (Willow) Bark Water,"Exfoliant, Soothing",Gently exfoliates and calms irritated skin,"oily,acne-prone"
Pyrus Malus (Apple) Fruit Water,"Plant Extract, Hydrating",Hydrates and provides antioxidant protection,all skin types
Ethyl Hexanediol,"Solvent, Humectant",Helps dissolve ingredients and provides moisture,all skin types
Sodium Lactate,"Humectant, Moisturizer",Draws moisture into the skin and maintains hydration,all skin types
Betaine Salicylate,"Exfoliant, Acne treatment",Provides gentle exfoliation and helps treat acne,"oily,acne-prone"
Adenosine,"Anti-inflammatory, Soothing","Soothes and reduces inflammation, promoting healing",all skin types
Hippophae Rhamnoides Water,"Plant Extract, Nourishing",Rich in vitamins and nutrients to nourish skin,all skin types
Hydroxyethylcellulose,Thickening Agent,Used to thicken formulations,all skin types
Polyglyceryl-10 Myristate,Emulsifier,Helps in mixing oils and water-based ingredients,all skin types
Polyglyceryl-10 Laurate,Emulsifier,Helps in emulsifying and stabilizing formulations,all skin types
Citrus Aurantium Bergamia (Bergamot) Fruit Oil,"Essential Oil, Fragrance, Antioxidant",Provides fragrance and antioxidant protection,all skin types
Alpha-Arbutin,Skin Brightening Agent,Brightens skin and helps even skin tone,all skin types
Menthyl Lactate,Cooling Agent,Provides a cooling effect on the skin,all skin types
Mentha Haplocalix Extract,"Plant Extract, Cooling, Soothing",Calms and cools the skin,all skin types
Petrolatum,"Emollient, Skin Protectant",Creates a barrier to lock moisture in the skin,"dry,sensitive"
Hydrogenated Polyisobutene,"Emollient, Moisturizing Agent",Moisturizes and improves skin texture,"dry,sensitive"
Polyisobutene,"Emollient, Binder",Helps with formulation stability,all skin types
Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate,"Emollient, Skin Conditioning",Softens and smooths skin,"dry,sensitive"
Butyrospermum Parkii (Shea) Butter,"Plant Extract, Moisturizing, Nourishing",Nourishes and softens skin,"dry,sensitive"
Diisostearyl Malate,"Emollient, Skin Conditioning",Helps with smooth texture and improves skin hydration,"dry,sensitive"
Ethylene/Propylene/Styrene Copolymer,Film-forming Agent,Forms a protective layer on the skin,all skin types
Sorbitan Sesquioleate,"Emulsifier, Surfactant",Helps ingredients mix and remain stable,all skin types
Microcrystalline Wax,"Emollient, Thickener",Adds thickness to formulations and provides moisture,"dry,sensitive"
Vanillyl Butyl Ether,"Skin Conditioning Agent, Sensory Enhancer",Provides a cooling effect and improves sensory feel,all skin types
Butylene/Ethylene/Styrene Copolymer,Film-forming Agent,Provides a long-lasting protective layer on the skin,all skin types
Melia Azadirachta Leaf Extract,"Plant Extract, Antioxidant, Anti-inflammatory",Soothes and protects the skin,all skin types
Melia Azadirachta Flower Extract,"Plant Extract, Antioxidant, Soothing",Calms and protects the skin,all skin types
Coccinia Indica Fruit Extract,"Plant Extract, Antioxidant, Hydrating",Provides hydration and protection,"dry,sensitive"
Amber Powder,"Exfoliant, Skin Conditioning",Exfoliates and conditions the skin,all skin types
Mentha Piperita (Peppermint) Leaf Extract,"Plant Extract, Cooling, Soothing",Cools and refreshes skin,"oily,acne-prone"
Solanum Melongena (Eggplant) Fruit Extract,"Plant Extract, Antioxidant",Antioxidant-rich to protect against skin aging,all skin types
Ocimum Sanctum Leaf Extract,"Plant Extract, Anti-inflammatory, Antioxidant",Soothes and protects skin from irritation,"sensitive,oily"
Curcuma Longa (Turmeric) Root Extract,"Plant Extract, Anti-inflammatory, Antioxidant",Calms skin and fights signs of aging,all skin types
Corallina Officinalis Extract,"Marine Extract, Moisturizing",Provides deep hydration and replenishment,"dry,sensitive"
Moringa Oleifera Seed Oil,"Plant Oil, Antioxidant, Moisturizing",Hydrates and nourishes skin with antioxidants,"dry,mature"
Magnesium Ascorbyl Phosphate,"Vitamin C Derivative, Skin Brightening, Antioxidant",Brightens and protects skin from free radicals,all skin types
Citric Acid,"pH Adjuster, Exfoliant",Balances pH and gently exfoliates skin,"oily,acne-prone"
Anemarrhena Asphodeloides Root Extract,"Plant Extract, Soothing, Anti-inflammatory",Soothes irritation and calms inflammation,"sensitive,irritated"
Panthenol,"Vitamin B5, Moisturizing, Skin Healing",Moisturizes and promotes skin healing,all skin types
Lactobionic Acid,"Polyhydroxy Acid (PHA), Exfoliating, Moisturizing",Exfoliates and moisturizes without irritation,"sensitive,dry"
Passiflora Edulis Fruit Extract,"Plant Extract, Soothing, Antioxidant",Soothes and provides antioxidant protection,"sensitive,dry"
Saccharum Officinarum (Sugar Cane) Extract,"Plant Extract, Exfoliating, Moisturizing",Exfoliates and moisturizes skin,"dry,oily"
Citrus Limon (Lemon) Fruit Extract,"Plant Extract, Brightening, Astringent",Brightens skin and tightens pores,"oily,acne-prone"
Ananas Sativus (Pineapple) Fruit Extract,"Plant Extract, Exfoliating, Antioxidant",Exfoliates and protects skin from free radicals,"oily,combination"
Vitis Vinifera (Grape) Fruit Extract,"Plant Extract, Antioxidant, Moisturizing",Provides moisture and fights signs of aging,all skin types
Camellia Japonica Seed Oil,"Plant Oil, Moisturizing, Antioxidant",Nourishes and protects the skin with antioxidants,"dry,mature"
Calcium Pantothenate,"Vitamin B5, Moisturizing, Skin Repairing",Soothes and helps skin recover,all skin types
Pyridoxine HCl,"Vitamin B6, Anti-inflammatory, Skin Conditioning",Reduces inflammation and conditions skin,"sensitive,irritated"
Maltodextrin,"Sugar Polymer, Skin Conditioning, Moisturizing",Conditions and hydrates skin,all skin types
Sodium Starch Octenylsuccinate,"Modified Starch, Emulsifier",Helps mix oil and water in formulations,all skin types
Silica,"Absorbent, Texture Enhancer",Enhances texture and absorbs excess oils,"oily,combination"
PPG-26-Buteth-26,"Surfactant, Emulsifier",Assists in emulsifying and solubilizing ingredients,all skin types
PEG-40 Hydrogenated Castor Oil,"Surfactant, Emulsifier",Helps blend oil and water-based ingredients,all skin types
Poloxamer 184,"Surfactant, Solubilizer",Helps dissolve ingredients and improve texture,all skin types
Sodium Benzoate,Preservative,Preserves product shelf life,all skin types
Carica Papaya Fruit Extract,"Plant Extract, Exfoliating, Brightening",Exfoliates and brightens skin,all skin types
Psidium Guajava Seed Oil,"Plant Oil, Antioxidant, Moisturizing",Provides moisture and antioxidant protection,"dry,sensitive"
Caprylyl/Capryl Glucoside,"Surfactant, Cleansing, Skin Conditioning",Cleanses and conditions the skin,all skin types
Sodium Cocoyl Glutamate,"Surfactant, Mild Cleanser, Skin Conditioning","Mild surfactant, cleanses while conditioning skin","sensitive,dry"
Glyceryl Caprylate,"Emulsifier, Skin Conditioning",Helps emulsify ingredients and condition the skin,all skin types
Polyglyceryl-6 Oleate,"Emulsifier, Skin Conditioning",Assists in emulsification and provides skin conditioning,all skin types
Sodium Surfactin,"Surfactant, Foam Booster",Boosts foam and enhances cleansing,all skin types
Xanthan Gum,"Thickening Agent, Stabilizer",Provides texture and stabilizes formulations,all skin types
Benzyl Alcohol,"Preservative, Fragrance",Preserves products and adds fragrance,all skin types
Potassium Sorbate,"Preservative, Antifungal",Prevents fungal growth and preserves product,all skin types
Parfum (Fragrance),Fragrance,Adds scent to the product,all skin types
Isohexadecane,"Emollient, Solvent, Skin Conditioning",Softens and smooths the skin,all skin types
Dimethicone,"Silicone, Emollient, Skin Protectant",Forms a barrier to protect skin,"dry,sensitive"
Isopropyl Isostearate,"Emollient, Skin Conditioning",Provides smoothness and softens skin,all skin types
Sodium Polyacryloyldimethyl Taurate,"Thickening Agent, Stabilizer","Stabilizes formulation, enhances texture",all skin types
Stearyl Alcohol,"Fatty Alcohol, Emollient, Emulsifier",Moisturizes and emulsifies the product,"dry,sensitive"
Panthenol,"Pro-Vitamin B5, Moisturizing, Skin Conditioning",Hydrates and soothes skin,"dry,sensitive"
3-O-Ethyl Ascorbic Acid,"Vitamin C Derivative, Brightening, Antioxidant",Evens skin tone and protects from oxidative stress,all skin types
Palmitoyl Pentapeptide-4,"Peptide, Anti-Aging, Skin Firming","Stimulates collagen production, firms the skin","aging,mature skin"
Trehalose,"Humectant, Moisturizing, Antioxidant","Draws moisture to the skin, protects against dryness",all skin types
Dimethiconol,"Silicone, Hair and Skin Conditioning",Provides smoothness and shine to hair and skin,"dry,damaged skin"
Cetearyl Alcohol,"Fatty Alcohol, Emollient, Emulsifier","Adds smoothness, helps mix oil and water-based ingredients",all skin types
Cetearyl Glucoside,"Emulsifier, Skin Conditioning","Helps blend oils and water, leaves skin soft",all skin types
Stearic Acid,"Fatty Acid, Emulsifier, Cleansing",Helps emulsify and cleanses skin,"oily,sensitive"
Palmitic Acid,"Fatty Acid, Skin Conditioning",Softens and nourishes skin,"dry,sensitive"
Cetyl Alcohol,"Fatty Alcohol, Emollient, Emulsifier",Helps stabilize formulations and soften the skin,"dry,sensitive"
Behenyl Alcohol,"Fatty Alcohol, Emollient, Emulsifier",Adds smoothness and improves formulation texture,"dry,sensitive"
Arachidyl Alcohol,"Fatty Alcohol, Emollient, Emulsifier",Provides softness and texture to formulations,"dry,sensitive"
Sodium Lactate,"Humectant, Skin Conditioning",Moisturizes and prevents dehydration,"dry,sensitive"
PEG-100 Stearate,"Emulsifier, Skin Conditioning",Helps emulsify ingredients and conditions the skin,all skin types
Sodium Lauroyl Sarcosinate,"Surfactant, Cleansing, Foaming",Cleanses skin gently without stripping moisture,all skin types
Cocamidopropyl Betaine,"Surfactant, Cleansing, Foam Booster",Enhances foam and cleanses while being mild,all skin types
Decyl Glucoside,"Surfactant, Cleansing, Mild, Non-Irritating",Gentle cleanser for sensitive skin,sensitive skin
Carica Papaya (Papaya) Fruit Extract,"Exfoliating, Skin Conditioning",Gently exfoliates and nourishes the skin,all skin types
Papain,"Exfoliant, Enzyme, Skin Renewal",Exfoliates and promotes cell turnover,all skin types
Malic Acid,"Exfoliant, AHA, Skin Smoothing",AHA exfoliant that smooths and brightens the skin,all skin types
Gluconic Acid,"Exfoliant, Skin Conditioning",Gently exfoliates and improves skin texture,"sensitive,dry"
Ascorbic Acid,"Vitamin C, Antioxidant, Skin Brightening",Brightens skin and reduces signs of aging,all skin types
Salicylic Acid,"BHA, Exfoliant, Acne Treatment","Deep exfoliant, helps with acne treatment and clogged pores","oily,acne-prone"
Tartaric Acid,"AHA, Exfoliant, Skin Smoothing","AHA exfoliant, improves skin texture and radiance",all skin types
CI 15985 (Yellow 6),Colorant,Adds yellow color to the formulation,all skin types
CI 14720 (Red 4),Colorant,Adds red color to the formulation,all skin types
Gluconolactone,"Exfoliant, Humectant, Skin Conditioning","Exfoliates and hydrates, improves skin texture","sensitive,dry"
Aloe Barbadensis (Aloe Vera) Leaf Gel,"Skin Soothing, Moisturizing, Healing","Calms irritation, hydrates, and heals skin",all skin types
C12-13 Pareth-9,"Surfactant, Cleansing, Foam Stabilizer",Helps cleanse and stabilize foam in formulations,all skin types
Sodium Citrate,"pH Adjuster, Buffering Agent",Balances pH levels in formulations,all skin types
Sorbitol,"Humectant, Moisturizing","Draws moisture to the skin, hydrating it",all skin types
Lecithin,"Emollient, Skin Conditioning","Moisturizes and softens the skin, improves texture",all skin types
Propylene Glycol,"Humectant, Skin Conditioning","Keeps skin hydrated, prevents moisture loss","dry,sensitive"
Resveratrol,"Antioxidant, Anti-aging, Skin Protection","Protects against environmental damage, anti-aging properties",all skin types
Xanthan Gum,"Thickening Agent, Stabilizer",Adds viscosity and stabilizes formulations,all skin types
C12-15 Alkyl Benzoate,"Emollient, Skin Conditioning, Solvent","Softens and smoothens skin, helps dissolve other ingredients",all skin types
Propanediol,"Humectant, Skin Conditioning",Hydrates and softens the skin,"dry,sensitive skin"
Cetyl Alcohol,"Emollient, Emulsifier","Softens and smoothens the skin, stabilizes emulsions",all skin types
Methyl Gluceth-20,"Humectant, Skin Conditioning","Moisturizes, improves skin hydration",all skin types
Neopentyl Glycol Dicaprate,"Emollient, Skin Conditioning",Moisturizes and softens the skin,all skin types
PEG-100 Stearate,"Emulsifier, Surfactant",Helps to form emulsions and keep ingredients stable,all skin types
Glyceryl Stearate,"Emulsifier, Skin Conditioning",Helps form emulsions and moisturizes the skin,all skin types
Polyglyceryl-4 Caprate,"Emulsifier, Skin Conditioning","Helps mix water and oils, softens the skin",all skin types
Citrus Aurantium Dulcis (Orange) Oil,"Fragrance, Skin Conditioning","Provides fragrance, helps brighten and soften the skin",all skin types
Orange Peel Oil,"Skin Conditioning, Fragrance",Moisturizes and provides a pleasant fragrance,all skin types
Limonene,"Fragrance, Solvent",Provides fragrance and helps dissolve other ingredients,all skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Thickener, Stabilizer",Adds thickness to formulations and stabilizes emulsions,all skin types
Capryl/Capramidopropyl Betaine,"Surfactant, Cleansing","Mild cleanser, reduces irritation",all skin types
Allantoin,"Skin Soothing, Healing",Soothes and repairs irritated skin,sensitive skin
Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,Antioxidant,Prevents oxidation and skin damage,all skin types
Disodium EDTA,Chelating Agent,Binds metal ions to prevent product degradation,all skin types
Polyquaternium-39,"Hair Conditioning, Moisturizing",Moisturizes and conditions hair and skin,all skin types
Sodium Chloride,"Salt, Thickening Agent",Adds thickness and stabilizes formulas,all skin types
PEG-30 Dipolyhydroxystearate,"Emulsifier, Stabilizer",Keeps the emulsion stable and enhances texture,all skin types
Trideceth-6,"Surfactant, Emulsifier","Helps mix oil and water, mild cleansing",all skin types
Cocamidopropyl Betaine,"Surfactant, Cleansing","Mild surfactant, reduces irritation",all skin types
Disodium Cocoamphodiacetate,"Surfactant, Cleansing","Mild surfactant, skin conditioning",all skin types
Sodium Cocoamphoacetate,"Surfactant, Cleansing","Mild cleansing agent, gentle on skin",all skin types
Coco-Glucoside,"Surfactant, Cleansing","Mild cleanser, derived from natural sources",all skin types
Decyl Glucoside,"Surfactant, Cleansing","Gentle cleanser, derived from renewable plant sources",all skin types
Yucca Vera Extract,"Skin Conditioning, Antioxidant","Provides antioxidant protection, soothes the skin",sensitive skin
Benzyl Alcohol,"Preservative, Fragrance",Preservative with a floral scent,all skin types
Rosmarinus Officinalis (Rosemary) Leaf Oil,"Antioxidant, Antibacterial, Fragrance","Antioxidant, antimicrobial, adds fragrance","oily,acne-prone skin"
Dehydroacetic Acid,Preservative,Preserves the product by preventing microbial growth,all skin types
Cetearyl Alcohol,"Emulsifier, Stabilizing Agent",Helps form emulsions and thickens formulations,all skin types
Trisodium Dicarboxymethyl Alaninate,"Chelating Agent, Skin Conditioning",Binds metal ions to prevent product degradation,sensitive skin
Xanthan Gum,"Thickener, Stabilizing Agent",Used to thicken and stabilize formulations,all skin types
Calendula Officinalis (Calendula) Flower Extract,"Skin Soothing, Anti-inflammatory",Calms and soothes irritated skin,"sensitive,dry"
Glyceryl Stearate,"Emulsifier, Skin Conditioning",Used to bind ingredients together in emulsions,"dry,sensitive skin"
Glyceryl Stearate Citrate,"Emulsifier, Skin Conditioning","Stabilizes emulsions, enhances skin feel",sensitive skin
Helianthus Annuus (Sunflower) Seed Oil,"Moisturizing, Antioxidant",Helps to lock moisture into the skin and provides antioxidant protection,"dry,sensitive skin"
Parfum (Essential Oil Fragrance),Fragrance,Adds scent to the product,all skin types
Persea Gratissima (Avocado) Oil,"Moisturizing, Antioxidant",Deeply moisturizes and nourishes the skin,"dry,sensitive skin"
Phormium Tenax (Flax) Extract,"Skin Conditioning, Antioxidant",Hydrates and protects the skin,"dry,sensitive skin"
Sodium Lauroyl Methyl Isethionate,"Surfactant, Cleansing",Mild cleansing agent,all skin types
Sodium Stearoyl Lactylate,"Emulsifier, Skin Conditioning","Aids in emulsifying, enhances skin feel","sensitive,dry"
Stearic Acid,"Emulsifier, Thickener",Stabilizes emulsions and thickens formulas,all skin types
Prunus Armeniaca (Apricot) Kernel Oil,"Moisturizing, Nourishing",Helps moisturize and nourish dry skin,"dry,sensitive skin"
Ribes Nigrum (Blackcurrant) Seed Oil,"Antioxidant, Moisturizing",Provides hydration and fights free radicals,"dry,sensitive skin"
Undaria Pinnatifida (Marine Algae) Extract,"Moisturizing, Anti-aging",Deeply hydrates and improves skin elasticity,"dry,mature skin"
(Floral Marine) Fragrance,Fragrance,Adds a floral and marine scent to the product,all skin types
Lauryl Glucoside,"Surfactant, Cleansing Agent",Used for gentle cleansing,all skin types
Sodium Lauroyl Sarcosinate,"Mild Surfactant, Cleansing Agent","Provides gentle, effective cleansing with low irritation",sensitive skin
PPG-2 Hydroxyethyl Coco/Isostearamide,"Surfactant, Conditioning Agent",Cleanses while conditioning skin,all skin types
Glyceryl Oleate,"Emulsifier, Skin Conditioning",Helps emulsify and nourish the skin,"dry,sensitive skin"
Camellia Sinensis Leaf Extract,"Antioxidant, Anti-inflammatory",Provides antioxidant and anti-inflammatory benefits,all skin types
Methyl Gluceth-20,"Moisturizing Agent, Skin Conditioning",Hydrates and softens skin,"dry,sensitive skin"
Glycol Distearate,"Surfactant, Emulsifying Agent",Enhances product texture and aids in emulsification,all skin types
Squalane,"Moisturizing, Skin Softening",Deeply moisturizes and softens skin,"dry,sensitive skin"
Fragrance,Fragrance,Adds scent to the product,all skin types
Polyquaternium-10,"Conditioning Agent, Film-forming Agent",Conditions hair/skin and forms a protective film on surface,all skin types
Sodium Laureth Sulfate,"Surfactant, Cleansing Agent",Cleanses and creates foam,"oily,combination"
Sodium Lauroyl Oat Amino Acids,"Surfactant, Skin Conditioning",Mild cleansing and skin conditioning,sensitive skin
Pterocarpus Soyauxii Wood Extract,"Antioxidant, Skin Soothing",Provides antioxidant benefits and soothes irritated skin,all skin types
Phellodendron Amurense Bark Extract,"Antioxidant, Anti-inflammatory","Soothes and calms the skin, anti-inflammatory properties","sensitive,irritated skin"
Hordeum Distichon (Barley) Extract,"Antioxidant, Skin Conditioning",Hydrates and nourishes the skin,dry
Spiraea Ulmaria Leaf Extract,"Anti-inflammatory, Skin Soothing",Soothes and calms irritated skin,sensitive skin
Artemisia Vulgaris Extract,"Anti-inflammatory, Antioxidant",Reduces inflammation and provides antioxidant protection,"sensitive,irritated skin"
Plantago Lanceolata Leaf Extract,"Skin Conditioning, Soothing",Calms and moisturizes the skin,"dry,sensitive skin"
Crithmum Maritimum Extract,"Skin Conditioning, Moisturizing",Helps retain moisture and improves skin hydration,"dry,dehydrated skin"
Limonene,"Fragrance Component, Skin Conditioning","Adds fragrance, softens and conditions the skin",all skin types
Linalool,"Fragrance Component, Skin Conditioning","Adds fragrance, softens and conditions the skin",all skin types
Sodium Chloride,"Thickener, Stabilizer",Thickens and stabilizes the formulation,all skin types
Blue 1 (Ci 42090),Colorant,Provides color to the product,all skin types
Red 33 (Ci 17200),Colorant,Provides color to the product,all skin types
Myristic Acid,"Fatty Acid, Cleansing Agent",Helps to remove dirt and oil from the skin,"oily,combination"
Disodium Laureth Sulfosuccinate,"Surfactant, Cleansing Agent","Gentle cleansing, less harsh than traditional sulfates","sensitive,dry"
PEG-7 Glyceryl Cocoate,"Surfactant, Skin Conditioning",Mild cleanser and skin conditioner,sensitive skin
Glycol Distearate,"Surfactant, Emulsifying Agent","Helps mix oil and water ingredients, stabilizes the formula",all skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Thickener, Stabilizer",Adds thickness and stability to formulations,all skin types
Sodium Hydroxide,pH Adjuster,Adjusts the pH of the product to a skin-friendly level,all skin types
Imidazolidinyl Urea,Preservative,"Prevents microbial growth, prolongs shelf life of products",all skin types
Sodium Lauryl Sulfate,"Surfactant, Cleansing Agent",Removes dirt and oil from the skin,"oily,combination"
Cocamide MEA,"Surfactant, Foaming Agent","Enhances foaming properties, mild cleanser",all skin types
PEG-150 Distearate,"Emulsifier, Thickener",Stabilizes and thickens products,all skin types
Sodium Laureth-12 Sulfate,"Surfactant, Cleansing Agent","Gentle cleanser, alternative to harsher sulfates",sensitive skin
Sucrose,"Humectant, Moisturizing","Draws moisture to the skin, hydrating","dry,dehydrated skin"
Steareth-4,"Emulsifier, Surfactant",Helps to combine oil and water in formulations,all skin types
PEG-120 Methyl Glucose Dioleate,"Surfactant, Thickener",Thickens and stabilizes the formula,all skin types
Mentha Piperita (Peppermint) Oil,"Essential Oil, Cooling, Refreshing",Provides a cooling sensation and refreshing aroma,"oily,combination"
Mentha Piperita (Peppermint) Leaf Extract,"Extract, Cooling, Refreshing",Refreshing and soothing properties,"oily,combination"
Avena Sativa (Oat) Bran Extract,"Skin Soothing, Moisturizing",Relieves irritation and moisturizes the skin,"sensitive,dry"
Oryza Sativa (Rice) Bran Extract,"Antioxidant, Skin Conditioning",Protects the skin from oxidative stress and adds moisture,"dry,sensitive skin"
Saccharum Officinarum (Sugar Cane) Extract,"Exfoliant, Humectant","Exfoliates dead skin cells, moisturizes","dry,dehydrated skin"
Wheat Amino Acids,"Skin Conditioning, Hydrating",Hydrates and strengthens the skin barrier,"dry,sensitive skin"
Methylchloroisothiazolinone,Preservative,Preserves products and prevents microbial growth,all skin types
Methylisothiazolinone,Preservative,Prevents microbial contamination,all skin types
Benzoic Acid,"Preservative, Antimicrobial",Prevents the growth of microorganisms,all skin types
Dehydroacetic Acid,"Preservative, Antifungal",Protects products from fungal contamination,all skin types
Benzophenone-4,UV Filter,Protects products from UV damage,all skin types
Aloe Barbadensis (Aloe Vera) Leaf Juice,"Skin Soothing, Hydrating",Soothes and hydrates the skin,"sensitive,dry"
Macadamia Integrifolia (Macadamia) Seed Oil,"Emollient, Moisturizing",Softens and moisturizes the skin,"dry,sensitive skin"
Cetearyl Alcohol,"Emulsifier, Stabilizer",Stabilizes emulsions and adds thickness,all skin types
Dicaprylyl Ether,"Emollient, Skin Conditioning",Provides a smooth feel and helps with spreadability,"dry,sensitive skin"
Olivoyl Hydrolyzed Wheat Protein,"Moisturizing, Skin Conditioning",Hydrates and strengthens the skin barrier,"dry,sensitive skin"
Helianthus Annuus (Sunflower) Seed Oil,"Emollient, Antioxidant",Nourishes and protects the skin,"dry,sensitive skin"
Glyceryl Oleate,"Emulsifier, Moisturizing",Helps maintain skin hydration and acts as an emulsifying agent,all skin types
Persea Gratissima (Avocado) Oil,"Emollient, Moisturizing","Moisturizes and softens skin, high in vitamins and antioxidants","dry,sensitive skin"
Rosa Canina (Rosehip) Seed Oil,"Emollient, Antioxidant, Skin Repairing","Repairs and regenerates skin, reduces scars and fine lines","dry,mature skin"
Morinda Citrifolia (Noni) Fruit Extract,"Antioxidant, Skin Soothing","Provides antioxidant protection, soothes irritated skin",sensitive skin
Calendula Officinalis (Calendula) Extract,"Skin Soothing, Anti-inflammatory",Reduces redness and irritation,sensitive skin
Camellia Sinensis (Green Tea) Leaf Extract,"Antioxidant, Anti-aging","Protects skin from free radicals, reduces signs of aging",all skin types
Chamomilla Recutita (Matricaria) Flower Extract,"Anti-inflammatory, Soothing","Calms irritated skin, reduces redness","sensitive,dry"
Rosa Centifolia Flower Extract,"Soothing, Moisturizing","Softens and moisturizes the skin, relieves irritation",sensitive skin
